year,stateabbrev,liInc,lvalue,dlpop,lagliInc,dliInc
1880,"AL",7.521727,,,,
1900,"AL",7.779033,,1.852527,7.521727,1.28653
1920,"AL",8.187912,,1.250172,7.779033,2.044394
1929,"AL",8.358916,,,,
1930,"AL",8.191359,10.52535,,,
1931,"AL",8.106313,,,,
1932,"AL",7.883553,,,,
1933,"AL",7.962873,,,,
1934,"AL",8.168097,,,,
1935,"AL",8.186518,,,,
1936,"AL",8.316171,,,,
1937,"AL",8.345716,,,,
1938,"AL",8.271865,,,,
1939,"AL",8.3218,,,,
1940,"AL",8.42704,10.18098,.9596252,8.187912,1.195641
1941,"AL",8.666565,,,,
1942,"AL",8.889807,,,,
1943,"AL",9.070123,,,,
1944,"AL",9.168372,,,,
1945,"AL",9.206307,,,,
1946,"AL",9.084064,,,,
1947,"AL",9.012267,,,,
1948,"AL",9.025072,,,,
1949,"AL",8.984131,,.6315947,8.358916,3.126073
1950,"AL",9.060176,10.65965,.7216692,8.191359,4.344087
1951,"AL",9.124861,,.7195282,8.106313,5.09274
1952,"AL",9.163436,,.726676,7.883553,6.399415
1953,"AL",9.203778,,.6871128,7.962873,6.204529
1954,"AL",9.174995,,.5779362,8.168097,5.034494
1955,"AL",9.293505,,.5743885,8.186518,5.534935
1956,"AL",9.342083,,.5647516,8.316171,5.129561
1957,"AL",9.355926,,.5917311,8.345716,5.05105
1958,"AL",9.353341,,.6327772,8.271865,5.407381
1959,"AL",9.383999,,.6489658,8.3218,5.310993
1960,"AL",9.387465,11.10779,.7022476,8.42704,4.802122
1961,"AL",9.395347,,.6667948,8.666565,3.643909
1962,"AL",9.433191,,.5953121,8.889807,2.716923
1963,"AL",9.47319,,.7556391,9.070123,2.015338
1964,"AL",9.532358,,.965209,9.168372,1.81993
1965,"AL",9.58674,,1.08748,9.206307,1.902161
1966,"AL",9.622794,,.8782339,9.084064,2.693653
1967,"AL",9.648887,,.8046055,9.012267,3.183098
1968,"AL",9.70015,,.7449436,9.025072,3.375392
1969,"AL",9.746785,,.6842995,8.984131,3.813272
1970,"AL",9.771292,11.21702,.6028414,9.060176,3.555579
1971,"AL",9.807487,,.6697321,9.124861,3.413129
1972,"AL",9.871167,,.7156134,9.163436,3.538656
1973,"AL",9.922431,,.797267,9.203778,3.593264
1974,"AL",9.912892,,.9267998,9.174995,3.689485
1975,"AL",9.920144,,.939579,9.293505,3.133197
1976,"AL",9.972712,,.9816742,9.342083,3.153143
1977,"AL",9.996382,,.9807301,9.355926,3.202281
1978,"AL",10.03255,,.9620953,9.353341,3.396034
1979,"AL",10.02445,,.9435511,9.383999,3.202233
