year,lagliInc,dliInc
1880,,
1900,7.521727,1.28653
1920,7.779033,2.044394
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,8.187912,1.195641
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,8.358916,3.126073
1950,8.191359,4.344087
1951,8.106313,5.09274
1952,7.883553,6.399415
1953,7.962873,6.204529
1954,8.168097,5.034494
1955,8.186518,5.534935
1956,8.316171,5.129561
1957,8.345716,5.05105
1958,8.271865,5.407381
1959,8.3218,5.310993
1960,8.42704,4.802122
1961,8.666565,3.643909
1962,8.889807,2.716923
1963,9.070123,2.015338
1964,9.168372,1.81993
1965,9.206307,1.902161
1966,9.084064,2.693653
1967,9.012267,3.183098
1968,9.025072,3.375392
1969,8.984131,3.813272
1970,9.060176,3.555579
1971,9.124861,3.413129
1972,9.163436,3.538656
1973,9.203778,3.593264
1974,9.174995,3.689485
1975,9.293505,3.133197
1976,9.342083,3.153143
1977,9.355926,3.202281
1978,9.353341,3.396034
1979,9.383999,3.202233
1980,9.387465,3.010592
1981,9.395347,2.986603
1982,9.433191,2.775459
1983,9.47319,2.744689
1984,9.532358,2.715325
1985,9.58674,2.606664
1986,9.622794,2.578692
1987,9.648887,2.533078
1988,9.70015,2.416844
1989,9.746785,2.348623
1990,9.771292,2.2402
1991,9.807487,2.078233
1992,9.871167,1.887341
1993,9.922431,1.626997
1994,9.912892,1.792722
1995,9.920144,1.85081
1996,9.972712,1.616912
1997,9.996382,1.596322
1998,10.03255,1.591792
1999,10.02445,1.687741
2000,9.989583,1.932063
2001,9.992667,1.980901
2002,9.988283,2.060027
2003,10.02213,1.949472
2004,10.07542,1.878343
2005,10.10807,1.814804
2006,10.13853,1.717992
2007,10.1555,1.737542
2008,10.18352,1.602125
2009,10.21651,1.241832
2010,10.21933,1.227274
1880,,
1900,7.489309,1.545537
1920,7.798417,2.185681
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,8.235553,.5043936
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,8.309292,3.249273
1950,8.033339,4.769564
1951,8.050933,4.921756
1952,7.838749,6.241913
1953,7.893975,6.105502
1954,8.040858,5.387697
1955,8.132102,5.410614
1956,8.292293,4.761424
1957,8.29659,4.635344
1958,8.210843,5.17416
1959,8.301304,5.06331
1960,8.336432,4.770761
1961,8.565795,3.933144
1962,8.81025,2.849097
1963,8.90446,2.555275
1964,9.091178,1.911573
1965,9.145538,1.841698
1966,9.081475,2.54118
1967,8.924881,3.461041
1968,9.023924,3.16556
1969,8.959146,3.7185
1970,8.987251,3.710394
1971,9.035284,3.673759
1972,9.087132,3.751593
1973,9.115075,4.081292
1974,9.118398,4.008875
1975,9.214225,3.425374
1976,9.244577,3.49174
1977,9.223659,3.74373
1978,9.245675,3.938098
1979,9.313966,3.468428
1980,9.290584,3.296742
1981,9.352424,3.112969
1982,9.38007,2.927375
1983,9.415515,2.8724
1984,9.473493,2.884717
1985,9.513878,2.804942
1986,9.589711,2.551875
1987,9.617089,2.404141
1988,9.657036,2.336226
1989,9.702847,2.200141
1990,9.72933,2.044573
1991,9.770036,1.87284
1992,9.83745,1.739149
1993,9.931334,1.270738
1994,9.920173,1.435113
1995,9.8993,1.613626
1996,9.942925,1.493216
1997,9.972404,1.40553
1998,10.03329,1.258197
1999,10.00765,1.456099
2000,9.949932,1.810184
2001,9.975018,1.822314
2002,9.965545,1.873512
2003,9.989995,1.869602
2004,10.05044,1.740708
2005,10.07487,1.663876
2006,10.10009,1.609263
2007,10.09792,1.841412
2008,10.12428,1.730838
2009,10.14287,1.502967
2010,10.13824,1.506133
1880,,
1900,9.090959,.0075817
1920,9.092475,-.5035257
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,8.99177,.1206207
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,8.985769,2.240753
1950,8.863705,3.026967
1951,8.770864,3.983316
1952,8.584229,5.10047
1953,8.596343,5.005445
1954,8.724185,4.271178
1955,8.840256,3.871932
1956,8.933287,3.611341
1957,8.988145,3.284431
1958,8.954822,3.313222
1959,8.993767,3.30267
1960,9.015894,3.320675
1961,9.201903,2.450466
1962,9.461253,1.253176
1963,9.494744,1.100426
1964,9.521101,1.137428
1965,9.567185,1.02942
1966,9.477519,1.677618
1967,9.401174,2.226415
1968,9.433294,2.436705
1969,9.43392,2.792053
1970,9.469098,2.794824
1971,9.567527,2.467265
1972,9.604323,2.523565
1973,9.597432,2.716389
1974,9.578421,2.676597
1975,9.614642,2.274637
1976,9.655555,2.244129
1977,9.645031,2.418737
1978,9.617466,2.839909
1979,9.654301,2.728133
1980,9.680029,2.508864
1981,9.691997,2.506118
1982,9.711888,2.247386
1983,9.714829,2.407093
1984,9.748587,2.507253
1985,9.773069,2.525039
1986,9.813043,2.483215
1987,9.846457,2.328968
1988,9.920635,1.980572
1989,9.992331,1.60583
1990,10.02806,1.322999
1991,10.06098,1.083407
1992,10.10904,.8401299
1993,10.14071,.7029581
1994,10.11374,.9801006
1995,10.06957,1.258206
1996,10.10438,1.179347
1997,10.12878,1.191044
1998,10.18545,1.155005
1999,10.19993,1.151662
2000,10.1818,1.41325
2001,10.19322,1.36538
2002,10.16137,1.513643
2003,10.19625,1.366639
2004,10.25004,1.31813
2005,10.27808,1.375647
2006,10.30969,1.338377
2007,10.31225,1.382585
2008,10.31675,1.236286
2009,10.3135,.9515285
