year,stateabbrev,lagliInc,dliInc,sid,highReg
1940,"AL",8.187912,1.195641,"AL",0
1941,"AL",,,"AL",0
1942,"AL",,,"AL",0
1943,"AL",,,"AL",0
1944,"AL",,,"AL",0
1945,"AL",,,"AL",0
1946,"AL",,,"AL",0
1947,"AL",,,"AL",0
1948,"AL",,,"AL",0
1949,"AL",8.358916,3.126073,"AL",0
1950,"AL",8.191359,4.344087,"AL",0
1951,"AL",8.106313,5.09274,"AL",0
1952,"AL",7.883553,6.399415,"AL",0
1953,"AL",7.962873,6.204529,"AL",0
1954,"AL",8.168097,5.034494,"AL",0
1955,"AL",8.186518,5.534935,"AL",0
1956,"AL",8.316171,5.129561,"AL",0
1957,"AL",8.345716,5.05105,"AL",0
1958,"AL",8.271865,5.407381,"AL",0
1959,"AL",8.3218,5.310993,"AL",0
1960,"AL",8.42704,4.802122,"AL",0
1961,"AL",8.666565,3.643909,"AL",0
1962,"AL",8.889807,2.716923,"AL",0
1963,"AL",9.070123,2.015338,"AL",0
1964,"AL",9.168372,1.81993,"AL",0
1965,"AL",9.206307,1.902161,"AL",0
1966,"AL",9.084064,2.693653,"AL",0
1967,"AL",9.012267,3.183098,"AL",0
1968,"AL",9.025072,3.375392,"AL",0
1969,"AL",8.984131,3.813272,"AL",0
1970,"AL",9.060176,3.555579,"AL",0
1971,"AL",9.124861,3.413129,"AL",0
1972,"AL",9.163436,3.538656,"AL",0
1973,"AL",9.203778,3.593264,"AL",0
1974,"AL",9.174995,3.689485,"AL",0
1975,"AL",9.293505,3.133197,"AL",0
1976,"AL",9.342083,3.153143,"AL",0
1977,"AL",9.355926,3.202281,"AL",0
1978,"AL",9.353341,3.396034,"AL",0
1979,"AL",9.383999,3.202233,"AL",0
1980,"AL",9.387465,3.010592,"AL",0
1981,"AL",9.395347,2.986603,"AL",0
1982,"AL",9.433191,2.775459,"AL",0
1983,"AL",9.47319,2.744689,"AL",0
1984,"AL",9.532358,2.715325,"AL",0
1985,"AL",9.58674,2.606664,"AL",0
1986,"AL",9.622794,2.578692,"AL",0
1987,"AL",9.648887,2.533078,"AL",0
1988,"AL",9.70015,2.416844,"AL",0
1989,"AL",9.746785,2.348623,"AL",0
1990,"AL",9.771292,2.2402,"AL",0
1991,"AL",9.807487,2.078233,"AL",0
1992,"AL",9.871167,1.887341,"AL",0
1993,"AL",9.922431,1.626997,"AL",0
1994,"AL",9.912892,1.792722,"AL",0
1995,"AL",9.920144,1.85081,"AL",0
1996,"AL",9.972712,1.616912,"AL",0
1997,"AL",9.996382,1.596322,"AL",0
1998,"AL",10.03255,1.591792,"AL",0
1999,"AL",10.02445,1.687741,"AL",0
2000,"AL",9.989583,1.932063,"AL",0
2001,"AL",9.992667,1.980901,"AL",0
2002,"AL",9.988283,2.060027,"AL",0
2003,"AL",10.02213,1.949472,"AL",0
2004,"AL",10.07542,1.878343,"AL",0
2005,"AL",10.10807,1.814804,"AL",0
2006,"AL",10.13853,1.717992,"AL",0
2007,"AL",10.1555,1.737542,"AL",0
2008,"AL",10.18352,1.602125,"AL",0
2009,"AL",10.21651,1.241832,"AL",0
2010,"AL",10.21933,1.227274,"AL",0
2011,"AL",10.21933,1.227274,"AL",0
2012,"AL",10.21933,.2405815,"AL",0
1940,"AR",8.235553,.5043936,"AR",1
1941,"AR",,,"AR",1
1942,"AR",,,"AR",1
1943,"AR",,,"AR",1
1944,"AR",,,"AR",1
1945,"AR",,,"AR",1
1946,"AR",,,"AR",1
1947,"AR",,,"AR",1
1948,"AR",,,"AR",1
1949,"AR",8.309292,3.249273,"AR",1
1950,"AR",8.033339,4.769564,"AR",1
1951,"AR",8.050933,4.921756,"AR",1
1952,"AR",7.838749,6.241913,"AR",1
1953,"AR",7.893975,6.105502,"AR",1
1954,"AR",8.040858,5.387697,"AR",1
1955,"AR",8.132102,5.410614,"AR",1
1956,"AR",8.292293,4.761424,"AR",1
1957,"AR",8.29659,4.635344,"AR",1
1958,"AR",8.210843,5.17416,"AR",1
1959,"AR",8.301304,5.06331,"AR",1
1960,"AR",8.336432,4.770761,"AR",1
1961,"AR",8.565795,3.933144,"AR",1
1962,"AR",8.81025,2.849097,"AR",1
1963,"AR",8.90446,2.555275,"AR",1
1964,"AR",9.091178,1.911573,"AR",1
1965,"AR",9.145538,1.841698,"AR",1
1966,"AR",9.081475,2.54118,"AR",1
1967,"AR",8.924881,3.461041,"AR",1
1968,"AR",9.023924,3.16556,"AR",1
1969,"AR",8.959146,3.7185,"AR",1
1970,"AR",8.987251,3.710394,"AR",1
1971,"AR",9.035284,3.673759,"AR",1
1972,"AR",9.087132,3.751593,"AR",1
1973,"AR",9.115075,4.081292,"AR",1
