year,pop,docLu,LUpc
1940,131265000,20,.1523635
1941,132653000,20,.1507693
1942,133824000,14,.104615
1943,133809000,9,.06726
1944,133213000,15,.1126016
1945,132522000,17,.1282806
1946,139745000,14,.1001825
1947,142792000,21,.1470671
1948,145251000,43,.2960393
1949,147859000,30,.202896
1950,150431000,26,.1728367
1951,152502000,28,.1836042
1952,154880000,34,.2195248
1953,157432000,43,.2731338
1954,160371000,49,.3055415
1955,163522000,48,.2935385
1956,166547000,57,.3422457
1957,169611000,52,.3065839
1958,172567000,73,.4230241
1959,175529000,85,.4842505
1960,178336000,81,.4541988
1961,181301000,80,.4412552
1962,184021000,86,.467338
1963,186698000,96,.5141994
1964,189324000,75,.3961463
1965,191688000,81,.4225617
1966,193727000,85,.4387618
1967,195583000,119,.6084374
1968,197515000,123,.6227375
1969,199497000,127,.636601
1970,201976387,137,.6782971
1971,204958794,131,.6391529
1972,207386509,163,.7859721
1973,209440448,214,1.02177
1974,211410063,220,1.040632
1975,213500252,258,1.208429
1976,215572104,263,1.220009
1977,217765995,266,1.221495
1978,220097191,280,1.272165
1979,222559369,334,1.500723
1980,225213410,332,1.474157
1981,227432163,365,1.604874
1982,229586872,373,1.624657
1983,231658446,358,1.545379
1984,233649899,358,1.532207
1985,235716991,374,1.586648
1986,237898531,404,1.698203
1987,240044779,347,1.445564
1988,242246761,404,1.667721
1989,244553306,434,1.774664
1990,247350712,463,1.871836
1991,250673124,555,2.214039
1992,254169310,534,2.100962
1993,257551017,539,2.092789
1994,260745738,517,1.982774
1995,263896610,509,1.928786
1996,267009583,516,1.932515
1997,270254581,546,2.020317
1998,273453709,570,2.084448
1999,276634876,567,2.049633
2000,279748883,581,2.076863
2001,282534789,641,2.268747
2002,285170085,772,2.707156
2003,287639863,771,2.680435
2004,290304689,774,2.666164
2005,292989788,818,2.791906
2006,295824198,931,3.14714
2007,298660828,828,2.772376
2008,301494062,893,2.961916
2009,304133689,895,2.942785
2010,306667630,867,2.827165
