year,stateabbrev,WRLURI,planner,luPcCum,roll2005t
1880,"AL",-.6880976,6,,
1900,"AL",-.6880976,6,,
1920,"AL",-.6880976,6,,
1929,"AL",-.6880976,6,,
1930,"AL",-.6880976,6,,
1931,"AL",-.6880976,6,,
1932,"AL",-.6880976,6,,
1933,"AL",-.6880976,6,,
1934,"AL",-.6880976,6,,
1935,"AL",-.6880976,6,,
1936,"AL",-.6880976,6,,
1937,"AL",-.6880976,6,,
1938,"AL",-.6880976,6,,
1939,"AL",-.6880976,6,,
1940,"AL",-.6880976,6,0,
1941,"AL",-.6880976,6,0,
1942,"AL",-.6880976,6,.1129944,
1943,"AL",-.6880976,6,.0847458,
1944,"AL",-.6880976,6,.0677966,
1945,"AL",-.6880976,6,.0564972,
1946,"AL",-.6880976,6,.0975855,
1947,"AL",-.6880976,6,.0853873,
1948,"AL",-.6880976,6,.1133236,
1949,"AL",-.6880976,6,.1019913,
1950,"AL",-.6880976,6,.1346924,
1951,"AL",-.6880976,6,.1346924,
1952,"AL",-.6880976,6,.1007941,
1953,"AL",-.6880976,6,.1663034,
1954,"AL",-.6880976,6,.1994819,
1955,"AL",-.6880976,6,.1994819,
1956,"AL",-.6880976,6,.1650703,
1957,"AL",-.6880976,6,.1650703,
1958,"AL",-.6880976,6,.1313889,
1959,"AL",-.6880976,6,.1313889,
1960,"AL",-.6880976,6,.0986878,
1961,"AL",-.6880976,6,.0986878,
1962,"AL",-.6880976,6,.0986878,
1963,"AL",-.6880976,6,.0927378,
1964,"AL",-.6880976,6,.0595593,
1965,"AL",-.6880976,6,.0886037,
1966,"AL",-.6880976,6,.0886037,
1967,"AL",-.6880976,6,.0886037,
1968,"AL",-.6880976,6,.0886037,
1969,"AL",-.6880976,6,.175813,
1970,"AL",-.6880976,6,.175813,
1971,"AL",-.6880976,6,.175813,
1972,"AL",-.6880976,6,.2605568,
1973,"AL",-.6880976,6,.2568515,
1974,"AL",-.6880976,6,.3395461,
1975,"AL",-.6880976,6,.3105017,
1976,"AL",-.6880976,6,.3372597,
1977,"AL",-.6880976,6,.4165674,
1978,"AL",-.6880976,6,.4687305,
1979,"AL",-.6880976,6,.4073648,
1980,"AL",-.6880976,6,.4842806,
1981,"AL",-.6880976,6,.5098003,
1982,"AL",-.6880976,6,.5269605,
1983,"AL",-.6880976,6,.5727816,
1984,"AL",-.6880976,6,.5913061,
1985,"AL",-.6880976,6,.6668249,
1986,"AL",-.6880976,6,.7653311,
1987,"AL",-.6880976,6,.8105482,
1988,"AL",-.6880976,6,.8329406,
1989,"AL",-.6880976,6,.8815348,
1990,"AL",-.6880976,6,.8293098,
1991,"AL",-.6880976,6,.9013712,
1992,"AL",-.6880976,6,.9439059,
1993,"AL",-.6880976,6,.9134187,
1994,"AL",-.6880976,6,.8356725,
1995,"AL",-.6880976,6,.8765192,
1996,"AL",-.6880976,6,.7512552,
1997,"AL",-.6880976,6,.6954128,
1998,"AL",-.6880976,6,.6662632,
1999,"AL",-.6880976,6,.6369708,
2000,"AL",-.6880976,6,.6572016,
2001,"AL",-.6880976,6,.6715367,
2002,"AL",-.6880976,6,.661024,
2003,"AL",-.6880976,6,.7230661,
2004,"AL",-.6880976,6,.7878792,
2005,"AL",-.6880976,6,.715279,5
2006,"AL",-.6880976,6,.8016912,
2007,"AL",-.6880976,6,.84001,
2008,"AL",-.6880976,6,.8581877,
2009,"AL",-.6880976,6,.8760948,
2010,"AL",-.6880976,6,.893865,
1880,"AR",-.7757698,10,,
1900,"AR",-.7757698,10,,
1920,"AR",-.7757698,10,,
1929,"AR",-.7757698,10,,
1930,"AR",-.7757698,10,,
1931,"AR",-.7757698,10,,
1932,"AR",-.7757698,10,,
1933,"AR",-.7757698,10,,
1934,"AR",-.7757698,10,,
1935,"AR",-.7757698,10,,
1936,"AR",-.7757698,10,,
1937,"AR",-.7757698,10,,
1938,"AR",-.7757698,10,,
1939,"AR",-.7757698,10,,
1940,"AR",-.7757698,10,0,
1941,"AR",-.7757698,10,0,
1942,"AR",-.7757698,10,.1680955,
1943,"AR",-.7757698,10,.1260716,
1944,"AR",-.7757698,10,.1008573,
1945,"AR",-.7757698,10,.1788524,
1946,"AR",-.7757698,10,.1533021,
1947,"AR",-.7757698,10,.2022592,
1948,"AR",-.7757698,10,.179786,
1949,"AR",-.7757698,10,.1618074,
1950,"AR",-.7757698,10,.1618074,
1951,"AR",-.7757698,10,.1618074,
1952,"AR",-.7757698,10,.1113787,
1953,"AR",-.7757698,10,.1675585,
1954,"AR",-.7757698,10,.1675585,
1955,"AR",-.7757698,10,.1106757,
1956,"AR",-.7757698,10,.1106757,
1957,"AR",-.7757698,10,.1138832,
1958,"AR",-.7757698,10,.1138832,
1959,"AR",-.7757698,10,.1138832,
1960,"AR",-.7757698,10,.2815746,
1961,"AR",-.7757698,10,.3369456,
