year,dlpop,lagliInc
1880,,
1900,1.852527,7.521727
1920,1.250172,7.779033
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,.9596252,8.187912
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,.6315947,8.358916
1950,.7216692,8.191359
1951,.7195282,8.106313
1952,.726676,7.883553
1953,.6871128,7.962873
1954,.5779362,8.168097
1955,.5743885,8.186518
1956,.5647516,8.316171
1957,.5917311,8.345716
1958,.6327772,8.271865
1959,.6489658,8.3218
1960,.7022476,8.42704
1961,.6667948,8.666565
1962,.5953121,8.889807
1963,.7556391,9.070123
1964,.965209,9.168372
1965,1.08748,9.206307
1966,.8782339,9.084064
1967,.8046055,9.012267
1968,.7449436,9.025072
1969,.6842995,8.984131
1970,.6028414,9.060176
1971,.6697321,9.124861
1972,.7156134,9.163436
1973,.797267,9.203778
1974,.9267998,9.174995
1975,.939579,9.293505
1976,.9816742,9.342083
1977,.9807301,9.355926
1978,.9620953,9.353341
1979,.9435511,9.383999
1980,.8752918,9.387465
1981,.8347893,9.395347
1982,.8328295,9.433191
1983,.7916832,9.47319
1984,.7593679,9.532358
1985,.7152843,9.58674
1986,.7087994,9.622794
1987,.7470608,9.648887
1988,.7751131,9.70015
1989,.7917452,9.746785
1990,.8020067,9.771292
1991,.7937336,9.807487
1992,.7996321,9.871167
1993,.814414,9.922431
1994,.8034754,9.912892
1995,.7740641,9.920144
1996,.7374239,9.972712
1997,.7192135,9.996382
1998,.6936598,10.03255
1999,.6766033,10.02445
2000,.6616068,9.989583
2001,.6557083,9.992667
2002,.6610441,9.988283
2003,.6758499,10.02213
2004,.683527,10.07542
2005,.7003498,10.10807
2006,.7407618,10.13853
2007,.7583237,10.1555
2008,.7959604,10.18352
2009,.8299685,10.21651
2010,.8340883,10.21933
1880,,
1900,2.456064,7.489309
1920,1.448269,7.798417
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,.5475807,8.235553
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,-.0216484,8.309292
1950,.1300812,8.033339
1951,.1413822,8.050933
1952,.0054455,7.838749
1953,-.2036572,7.893975
1954,-.3988838,8.040858
1955,-.456748,8.132102
1956,-.5232811,8.292293
1957,-.4678869,8.29659
1958,-.5533838,8.210843
1959,-.5188274,8.301304
1960,-.4436684,8.336432
1961,-.4244328,8.565795
1962,-.3390217,8.81025
1963,.0969362,8.90446
1964,.343647,9.091178
1965,.3725719,9.145538
1966,.2538347,9.081475
1967,.1766777,8.924881
1968,.2066326,9.023924
1969,.1836777,8.959146
1970,.0575209,8.987251
1971,.1834106,9.035284
1972,.4674339,9.087132
1973,.7268,9.115075
1974,.9584522,9.118398
1975,1.120448,9.214225
1976,1.205721,9.244577
1977,1.209416,9.223659
1978,1.305623,9.245675
1979,1.281757,9.313966
1980,1.231718,9.290584
1981,1.194177,9.352424
1982,1.068006,9.38007
1983,1.034021,9.415515
1984,1.005969,9.473493
1985,1.029544,9.513878
1986,1.026969,9.589711
1987,1.043887,9.617089
1988,1.041894,9.657036
1989,1.020951,9.702847
1990,.9982729,9.72933
1991,.9467936,9.770036
1992,.8997107,9.83745
1993,.8834171,9.931334
1994,.8588743,9.920173
1995,.8051729,9.8993
1996,.8530188,9.942925
1997,.8209658,9.972404
1998,.7932043,10.03329
1999,.779357,10.00765
2000,.7864475,9.949932
2001,.8008766,9.975018
2002,.8251858,9.965545
2003,.8349371,9.989995
2004,.8501005,10.05044
2005,.8912277,10.07487
2006,.9532022,10.10009
2007,.9784412,10.09792
2008,1.023064,10.12428
2009,1.053796,10.14287
2010,1.074595,10.13824
1880,,
1900,5.55902,9.090959
1920,5.000014,9.092475
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,2.0049,8.99177
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,2.535491,8.985769
1950,2.774987,8.863705
1951,3.021131,8.770864
1952,3.406706,8.584229
1953,3.706331,8.596343
1954,3.896408,8.724185
1955,4.108129,8.840256
1956,4.329147,8.933287
1957,4.54823,8.988145
1958,4.700203,8.954822
1959,4.787879,8.993767
1960,4.867692,9.015894
1961,5.253682,9.201903
1962,5.104103,9.461253
1963,4.166846,9.494744
1964,4.616928,9.521101
1965,4.929461,9.567185
1966,4.79991,9.477519
1967,4.630294,9.401174
1968,4.455237,9.433294
1969,4.445157,9.43392
1970,4.323349,9.469098
1971,4.409375,9.567527
1972,4.347677,9.604323
1973,4.329767,9.597432
1974,4.344058,9.578421
1975,4.200206,9.614642
1976,4.009552,9.655555
1977,3.845005,9.645031
1978,3.734674,9.617466
1979,3.691683,9.654301
1980,3.64378,9.680029
1981,3.458819,9.691997
1982,3.376327,9.711888
1983,3.344159,9.714829
1984,3.393126,9.748587
1985,3.4902,9.773069
1986,3.588538,9.813043
1987,3.681402,9.846457
1988,3.713908,9.920635
1989,3.674588,9.992331
1990,3.595347,10.02806
1991,3.460937,10.06098
1992,3.337221,10.10904
1993,3.243093,10.14071
1994,3.231506,10.11374
1995,3.310037,10.06957
1996,3.348298,10.10438
1997,3.343091,10.12878
1998,3.31212,10.18545
1999,3.219748,10.19993
2000,3.169527,10.1818
2001,3.147335,10.19322
2002,3.122487,10.16137
2003,3.092155,10.19625
2004,3.056684,10.25004
2005,3.032894,10.27808
2006,3.000908,10.30969
2007,2.92347,10.31225
2008,2.873311,10.31675
2009,2.801495,10.3135
2010,2.772083,10.29266
1880,,
1900,2.704153,9.081814
1920,4.18097,9.209122
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,3.535485,9.346071
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,3.126802,9.496279
1950,3.128495,9.408072
1951,3.24008,9.334675
1952,3.400412,9.182886
1953,3.600163,9.174399
1954,3.717537,9.241313
1955,3.773093,9.31236
1956,3.85654,9.451729
1957,3.908191,9.44805
1958,4.022493,9.439402
1959,4.119978,9.466483
1960,4.128442,9.536064
1961,4.097795,9.668825
1962,3.907614,9.802771
1963,3.586607,9.929814
1964,3.364563,9.934515
1965,3.293076,9.911818
1966,3.310156,9.88188
1967,3.29957,9.759459
1968,3.279991,9.722942
1969,3.227243,9.725763
1970,3.143988,9.788183
1971,3.014307,9.816918
1972,2.852678,9.857781
1973,2.662983,9.869118
1974,2.537441,9.852208
1975,2.473154,9.922599
1976,2.348585,9.955718
1977,2.245493,9.955481
1978,2.142258,9.934345
1979,2.03907,9.98067
1980,2.026443,9.993586
1981,1.933594,10.00318
1982,1.871052,10.03537
1983,1.807098,10.05429
1984,1.766844,10.09548
1985,1.762829,10.12058
1986,1.813402,10.16107
1987,1.85277,10.18846
1988,1.91843,10.22827
1989,1.968069,10.25227
1990,2.01478,10.25423
1991,2.01951,10.25737
1992,2.043085,10.30671
1993,2.023067,10.33291
1994,1.983938,10.32644
1995,1.932249,10.32369
1996,1.891317,10.36114
1997,1.86986,10.38798
1998,1.838331,10.42518
1999,1.824989,10.43089
2000,1.781435,10.41114
2001,1.752338,10.40998
2002,1.700144,10.3947
2003,1.6469,10.418
2004,1.597691,10.46753
2005,1.519041,10.48538
2006,1.422453,10.51066
2007,1.331167,10.52604
2008,1.257591,10.54174
2009,1.175394,10.54143
2010,1.102352,10.53338
1880,,
1900,5.107355,9.025313
1920,2.77236,9.071699
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,.9224367,9.030548
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,1.252713,9.040048
1950,1.210957,8.968112
1951,1.138391,8.864325
1952,1.236205,8.686688
1953,1.448903,8.73067
1954,1.642332,8.750678
1955,1.802816,8.90928
1956,1.996651,9.091041
1957,2.05142,9.04147
1958,2.024326,9.010158
1959,2.115822,9.046484
1960,2.240987,9.093067
1961,2.475214,9.218316
1962,2.582293,9.43714
1963,2.599964,9.527173
1964,2.805696,9.534955
1965,2.892799,9.622568
1966,2.588291,9.558021
1967,2.537112,9.534024
1968,2.589631,9.52531
1969,2.571855,9.525266
1970,2.589426,9.574939
1971,2.761321,9.66754
1972,2.831097,9.695317
1973,2.781181,9.650578
1974,2.659478,9.620584
1975,2.572484,9.677648
1976,2.411642,9.711537
1977,2.412739,9.750586
1978,2.533193,9.743806
1979,2.552691,9.784138
1980,2.486634,9.802431
1981,2.396407,9.824796
1982,2.387991,9.836521
1983,2.407846,9.850207
1984,2.378483,9.876213
1985,2.401276,9.918698
1986,2.390723,9.9525
1987,2.312856,9.97511
1988,2.155051,10.00741
1989,2.068424,10.04572
1990,1.984653,10.08164
1991,1.927743,10.12385
1992,1.871142,10.17419
1993,1.850657,10.21515
1994,1.910801,10.21018
1995,1.959114,10.20258
1996,1.991239,10.23119
1997,1.995425,10.25906
1998,1.986866,10.30465
1999,1.971145,10.31033
2000,1.985574,10.30377
2001,1.981039,10.32545
2002,1.915088,10.33177
2003,1.841245,10.34815
2004,1.834397,10.38608
2005,1.835456,10.39108
2006,1.885562,10.40144
2007,1.937737,10.39645
2008,2.023554,10.40804
2009,2.086473,10.43577
2010,2.114882,10.43501
1880,,
1900,1.888213,8.702119
1920,2.092943,8.936901
1929,,
1930,,
1931,,
1932,,
1933,,
1934,,
1935,,
1936,,
1937,,
1938,,
1939,,
1940,1.063914,9.111712
1941,,
1942,,
1943,,
1944,,
1945,,
1946,,
1947,,
1948,,
1949,1.21387,9.530447
1950,1.115098,9.447929
1951,1.09849,9.401694
1952,1.199913,9.251906
1953,1.389451,9.243933
1954,1.548553,9.326778
1955,1.612415,9.382298
1956,1.629109,9.498532
1957,1.703176,9.528255
1958,1.866412,9.436827
