statefip,skill,basePop,netMig,lr,lincShared
"Alabama",0,93049,-3.214579,8.53431,9.005493
"Alabama",1,12968,-.565947,9.586309,9.005493
"Alabama",1,9870,-.976813,9.246747,8.517259
"Alabama",0,72029,-1.006117,7.937521,8.517259
"Alabama",0,123577,.4042559,8.736384,9.332416
"Alabama",1,18907,.614104,9.404466,9.332416
"Alabama",0,166028,1.537266,9.60253,9.903096
"Alabama",1,50070,1.697841,10.10358,9.903096
"Alabama",1,8702,.0303972,9.558837,9.072683
"Alabama",0,63673,.0041451,8.785147,9.072683
"Alabama",0,118481,-2.257969,8.14541,8.744959
"Alabama",1,17039,.5585891,9.540078,8.744959
"Alabama",1,12387,.3174925,9.242372,8.27267
"Alabama",0,86198,-4.335345,7.502712,8.27267
"Alabama",1,12987,-.0839211,10.24259,9.712792
"Alabama",0,37060,-.0599437,9.040322,9.712792
"Alabama",1,16614,-.3592986,9.122553,8.54555
"Alabama",0,136462,-4.678068,8.139739,8.54555
"Alabama",0,42503,-2.040101,7.9254,8.563128
"Alabama",1,5975,1.031396,9.06319,8.563128
"Alabama",1,16827,-.5057336,10.02139,9.698118
"Alabama",0,51193,1.643634,9.254462,9.698118
"Arizona",0,29801,-3.079821,9.116102,9.389828
"Arizona",1,9487,-.2545306,9.750584,9.389828
"Arizona",0,46593,9.223418,9.449991,9.812998
"Arizona",1,23316,3.504556,9.835423,9.812998
"Arizona",0,11313,14.58621,9.502002,9.823701
"Arizona",1,3900,5.25866,9.77817,9.823701
"Arizona",0,35089,.9279182,9.371202,9.756205
"Arizona",1,16963,6.218781,9.944297,9.756205
"Arkansas",1,7687,.8605605,9.43968,8.544274
"Arkansas",0,27174,-1.571957,7.368616,8.544274
"Arkansas",1,5700,-1.228286,8.778743,8.261139
"Arkansas",0,51290,-2.879452,7.737425,8.261139
"Arkansas",0,71073,-4.66451,8.569365,9.110243
"Arkansas",1,13609,1.444227,9.570373,9.110243
"Arkansas",0,56330,-6.161983,,8.520547
"Arkansas",1,7578,-2.503599,9.04114,8.520547
"Arkansas",1,21588,1.969058,10.05355,9.844755
"Arkansas",0,49512,.3769339,8.986903,9.844755
"Arkansas",0,54308,-3.643192,8.493655,8.864354
"Arkansas",1,8000,1.444437,9.484355,8.864354
"Arkansas",1,8764,.020611,9.310895,8.689366
"Arkansas",0,54309,1.510948,8.156659,8.689366
"Arkansas",0,78556,-2.818007,8.638505,8.977847
"Arkansas",1,15766,.1802337,9.228269,8.977847
"Arkansas",0,94957,-4.179119,7.929854,8.545951
"Arkansas",1,12123,-1.201905,9.255761,8.545951
"Arkansas",1,14150,-.1549605,9.508644,8.645334
"Arkansas",0,100718,1.570498,8.049137,8.645334
"Arkansas",1,9148,-.8614451,9.483672,8.791377
"Arkansas",0,47501,-.3936521,8.202031,8.791377
"California",0,18689,2.732863,9.466832,9.727693
"California",1,7657,3.24907,9.556271,9.727693
"California",0,28361,5.306505,9.542558,9.728121
"California",1,11100,4.308051,9.536619,9.728121
"California",1,301720,.8445955,10.17702,10.29782
"California",0,425492,2.654247,9.923716,10.29782
"California",0,48086,6.165845,9.538387,9.967024
"California",1,29227,2.085031,9.906507,9.967024
"California",1,20288,4.595323,9.838631,9.712545
"California",0,46889,5.860637,9.198708,9.712545
"California",0,37969,3.625685,9.384835,9.596107
"California",1,18048,-.6248103,9.30539,9.596107
"California",0,39831,1.438873,9.751222,10.18651
"California",1,21050,7.496592,10.22846,10.18651
"California",0,32077,10.43515,9.132033,9.547411
"California",1,14918,3.88552,9.701764,9.547411
"California",1,14748,-.6584129,9.960901,9.998736
"California",0,34765,3.716196,9.670866,9.998736
"California",1,31134,6.264555,10.11879,10.00981
"California",0,75785,12.47112,9.677656,10.00981
"California",0,47478,5.383801,9.33689,9.819613
"California",1,21451,1.52911,10.09624,9.819613
"California",1,19400,5.959476,9.843281,9.957109
"California",0,34296,8.926177,9.652565,9.957109
"California",1,569281,4.277363,10.02693,10.12007
"California",0,773205,5.807509,9.704842,10.12007
"California",1,48784,3.693546,9.809353,9.89404
"California",0,66065,5.626518,9.524828,9.89404
"California",1,22074,6.048895,9.81171,9.821502
"California",0,37441,12.44728,8.897264,9.821502
"California",0,41910,4.029113,9.312192,9.824309
"California",1,23216,1.970027,10.06214,9.824309
"California",1,23353,3.172186,9.689738,9.767765
"California",0,55457,18.73366,9.553615,9.767765
"Colorado",0,23516,-4.818107,9.186466,9.503972
"Colorado",1,11477,1.374561,9.608027,9.503972
"Colorado",0,37861,8.727167,8.754571,9.162745
"Colorado",1,13599,6.389429,9.18477,9.162745
"Colorado",1,25495,-.7368407,9.462534,9.378952
"Colorado",0,50098,2.426151,8.700521,9.378952
"Colorado",0,35237,-2.288943,8.810628,9.408055
"Colorado",1,19985,-4.485531,9.441736,9.408055
"Colorado",0,102929,.116947,9.528079,10.00173
"Colorado",1,72364,-.1249337,10.04074,10.00173
"Colorado",1,20342,.9460292,9.871567,9.820618
"Colorado",0,55977,-1.478007,9.565435,9.820618
"Connecticut",1,8605,1.994366,10.06813,10.09596
"Connecticut",0,31508,4.457408,9.75541,10.09596
"Connecticut",1,52692,1.894469,10.26924,10.30251
"Connecticut",0,151798,1.828451,9.91459,10.30251
"Connecticut",1,67837,-.2985604,10.22597,10.27273
"Connecticut",0,174660,1.094447,9.915019,10.27273
"Connecticut",1,58009,.8957701,10.34708,10.3606
"Connecticut",0,154099,.2149848,9.961311,10.3606
"Connecticut",1,23856,.7640068,9.906554,10.03745
"Connecticut",0,93944,1.651104,9.74064,10.03745
"Delaware",1,7400,2.538136,9.565723,9.424948
"Delaware",0,31999,2.157415,9.039948,9.424948
"Delaware",0,61061,.6548615,9.845238,10.27501
