skill,basePop,netMig,lr,lincShared
1,13983,.0173602,11.34803,11.02351
0,60901,1.161797,10.71586,11.02351
1,59875,.5341851,11.4232,11.2354
0,122646,2.098389,10.83564,11.2354
0,54860,2.311215,10.65385,10.91033
1,6493,-.2868645,11.37257,10.91033
0,82102,2.89458,10.64011,10.93238
1,11694,1.366796,11.41604,10.93238
0,65373,-.2577189,10.82645,11.09801
1,13783,-.6177675,11.37742,11.09801
0,61402,.8203119,10.66983,10.86181
1,6499,.082473,11.07136,10.86181
1,9898,1.633009,11.39531,10.97168
0,82998,6.579401,10.73409,10.97168
0,255722,-2.520316,10.79106,11.21304
1,102130,-1.73759,11.5062,11.21304
0,45453,.5484771,10.70067,10.98198
1,7603,.3354946,11.26102,10.98198
0,68838,5.079365,10.65708,10.88833
1,8967,.2223507,11.14934,10.88833
0,51400,-4.230628,10.67041,10.96789
1,11333,-2.746561,11.27334,10.96789
0,42714,11.40324,10.95532,11.42483
1,23162,14.92349,11.60688,11.42483
0,56524,2.583943,10.81131,11.13236
1,27611,-6.350508,11.30169,11.13236
0,53023,1.729069,10.61404,10.83307
1,7819,-.5916965,11.14995,10.83307
0,57889,3.060689,10.73135,10.93489
1,6933,.5214279,11.02966,10.93489
0,36440,3.955277,10.78512,11.13607
1,23126,-13.44727,11.31461,11.13607
1,14752,-2.154506,11.10661,10.83442
0,82254,-1.664845,10.56542,10.83442
1,47315,.1838841,11.27217,11.09686
0,119638,-.247375,10.7155,11.09686
1,9154,-.0823424,11.2569,10.91738
0,73428,.2167542,10.68914,10.91738
1,42921,-1.570471,11.31809,11.04842
0,166634,-1.378158,10.72979,11.04842
1,13886,5.757908,11.20859,11.07924
0,49123,12.97751,10.73408,11.07924
0,45511,2.821084,10.63089,10.86293
1,8369,.3322197,11.1071,10.86293
1,13329,-.9066885,11.20482,10.96379
0,57809,1.713571,10.66383,10.96379
0,,,,
1,,,,
0,,,,
1,,,,
0,,,,
1,,,,
0,,,,
1,,,,
1,378137,3.864849,11.45658,11.28722
0,1061531,5.568159,10.89158,11.28722
