coef1,coef2,coef6,year
-2.379675,.5559776,.9000634,1950
-2.689759,.5985346,,1951
-2.67945,.6759163,,1952
-2.664573,.9520522,,1953
-2.520963,1.264942,,1954
-2.167175,1.261354,,1955
-2.324157,1.507659,,1956
-2.165384,1.476565,,1957
-2.464897,1.693874,,1958
-2.440536,1.687973,,1959
-2.410317,1.59754,.9516733,1960
-2.23915,1.638321,,1961
-1.96668,2.016723,,1962
-1.83739,1.962277,,1963
-1.391552,1.915285,,1964
-1.253313,2.212509,,1965
-1.57689,1.930938,,1966
-1.854427,1.675818,,1967
-1.684434,1.459872,,1968
-1.643481,2.150143,,1969
-1.979936,2.13354,1.197456,1970
-1.986873,2.217521,,1971
-2.091055,2.173447,,1972
-2.294081,1.807258,,1973
-2.229897,1.404162,,1974
-2.197419,1.330318,,1975
-2.220099,1.056597,,1976
-2.149086,.7607878,,1977
-1.975551,.5881373,,1978
-2.006019,.8595711,,1979
-1.847498,.7525176,1.295183,1980
-1.956224,.7830309,,1981
-1.923402,.4006308,,1982
-1.717267,.1935157,,1983
-1.696359,.0557189,,1984
-1.553065,-.3468942,,1985
-1.217328,-.4881502,,1986
-.9470868,-.3994949,,1987
-.7233557,-.1710655,,1988
-.6227676,-.0153507,,1989
-.5823172,.2638161,2.149643,1990
-.6220593,.33975,,1991
-.6113113,.2229022,,1992
-1.238444,-.263843,,1993
-.9340327,.0921893,,1994
-.9904318,.0488313,,1995
-.5166537,.5106818,,1996
-.4579572,.5615381,,1997
-.5394914,.6617156,,1998
-.3471579,.8515047,,1999
-.3877611,1.175722,1.438266,2000
-.4089319,.9344535,,2001
-.4702351,.6380975,,2002
-.394624,1.004195,,2003
-.2309608,.8308899,,2004
-.4104435,.7502451,,2005
-.5097209,.5791343,,2006
-.7558241,.2231166,,2007
-1.370507,.0410498,,2008
-1.287425,-.2610971,,2009
-.9900292,-.4789894,2.047816,2010
,,,
,,,
,,,
