	(1)	(2)	(3)	(4)	(5)	(6)	(7)
VARIABLES	1980	1990	1960	1970	1940	2000	2010
							
avginc	0.726***	0.657***	0.736***	0.786***	0.880***	0.539***	0.356***
	(0.0775)	(0.0347)	(0.0257)	(0.0421)	(0.0204)	(0.0349)	(0.0465)
skill_interaction	0.0402	0.227***	0.133*	0.0902	-0.180***	0.614***	0.610***
	(0.116)	(0.0715)	(0.0768)	(0.0658)	(0.0662)	(0.0924)	(0.0752)
fractionwhite	2,408***	5,605***	1,062***	1,175***	466.7***	7,329***	5,522***
	(517.1)	(703.1)	(172.4)	(362.2)	(47.73)	(429.4)	(499.2)
fractionblack	-1,583***	-1,747**	-756.3***	-1,403***	168.5***	-2,867***	-8,337***
	(481.6)	(698.7)	(161.8)	(354.9)	(44.64)	(587.9)	(673.4)
fractionmale	3,473***	5,831***	435.7***	1,270***	-178.8***	10,221***	11,812***
	(92.17)	(184.4)	(47.76)	(62.04)	(23.99)	(247.0)	(465.9)
agepw	1,580***	3,179***	351.1***	681.0***	88.49***	4,553***	5,781***
	(23.63)	(53.60)	(12.02)	(13.11)	(5.058)	(76.67)	(138.1)
agepw2	-16.96***	-34.45***	-3.939***	-7.442***	-1.032***	-48.04***	-60.27***
	(0.234)	(0.517)	(0.134)	(0.134)	(0.0554)	(0.866)	(1.675)
skill	5,977***	12,035***	1,325***	3,381***	829.5***	7,028*	15,364***
	(1,681)	(1,940)	(331.3)	(478.5)	(72.54)	(3,685)	(3,591)
people	1,554***	3,214***	201.1***	448.3***	68.69***	5,772***	6,984***
	(65.29)	(141.4)	(23.11)	(28.60)	(10.35)	(157.4)	(249.7)
Constant	-37,473***	-76,434***	-7,766***	-15,425***	-2,445***	-112,435***	-135,603***
	(1,654)	(2,165)	(343.1)	(609.0)	(162.1)	(2,557)	(4,007)
							
Observations	2,116,772	2,924,925	306,576	339,412	255,391	3,142,015	694,985
R-squared	0.132	0.144	0.098	0.127	0.119	0.136	0.170
Robust standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
