INDEX,STATE,NDMTCODE,NAME,COUNTY,STATEABL,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,LPOP3020,PCTBLK3,PCTURB3,PFORB3,PCTFRM3,PCTOWN3,PCTILL3,PCTFAIL3,AVESZ3,RTSALPC3,RTSALPC4,VCROP29,LATITUDE,LONGITUD,AG311,APP311,BKCR311,XXD311,FLCN311,IRRC311,LAB311,PBLD311,PBLN311,RVHB311,ROAD311,WYMN311,AREA,MEAN9628,STD9628,PCTVT28,TMPAV30,PCPAV30,MXSW30S,MXSD30S,PUNPOP30,PLOPOP30,DUSTBOWA,BAY,BEACH,LAKE,STREAM,SUMMIT,SWAMP,VALLEY,ELEVMAX,PUNPP40,PUNPP37,PUNPPP37,POWN30,PRADIO30,COASTAT,COASTPC,COASTGL,COASTGU,RIV1120,RIV2150,RIV51UP,RIV0510,PFPREL33,NETMIGRA,GCNETMRA,AD2NETMA,PP301019,PP302029,PP303034,PP303544,PP304554,PP305564,PP3065UP,TAXRTP29,PCPUBWOR,PCAAA,PCRELIEF,PCNDLOAN,PCNDINS,RTSAPCAF,PCPUBRE,RPTOTC26,ELEVRANG,FTMPAV30,FPCPAV30,FMXSD30S,FMXSW30S,AWC,CLAY,KFFACT,OM,PERM,THICK,HYGRP,DRAIN,SLOPE,LL,IFHYDRIC,AFLDFREQ,TOTAREA,CAPITAL,VCROPP29,SPCTBLK3,POP30T,MANEMP3A,RLDF3329,MINEM35A,STCT,STME,STMA,STNH,STRI,STVT,STDE,STNJ,STNY,STPA,STIL,STIN,STMI,STOH,STWI,STIA,STKS,STMN,STMO,STNE,STNDK,STSD,STAL,STAR,STFL,STGA,STLA,STMS,STNC,STSC,STTX,STVA,STKY,STMD,STOK,STTN,STWV,STAZ,STCO,STID,STMT,STNV,STNM,STUT,STWY,STCA,STOR,STWA
1,1,10,FAIRFIELD,10,CT,3,5,105,121,131,151,,,,,,,,,0.186412644,2.118685706,74.12632984,24.59930386,0.352624802,78.54835538,3.833857796,2.01070179,23.34935127,1009.947305,1088.978449,3029061,41.23,73.27,0,0,0,0,0,0,0,0,0,0,0,0,631,36.35193,7.0632312,18.5282207,49.84875,3.9265,9,18.5,3.39305827,0.944660051,0,37,34,154,175,153,18,3,1551,5.023251394,5.175588115,3.145322698,45.29237824,61.19673906,1,0,0,0,0,0,0,0,6.453031016,4.88127809,3.725866429,4.680761795,18.94128298,15.78065184,7.667615106,15.9009312,11.29384377,7.370926022,5.465080186,5.413864436,3.961674623,0.031581942,10.80384292,10.87333744,6.271141603,923.0224019,14.76551755,85.21910929,1550,17.57790559,1.384581285,6.523558835,3.173623217,0.106564458,6.113794251,0.244750914,3.293856098,4.270318363,55.94601108,2.624763897,3.506303118,9.083797558,20.15294017,0.134228343,3.968830027,1656948044,0,7.833062668,0,386.702,24.62134053,-0.336328883,0.020089146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,30,HARTFORD,30,CT,3,4,5,6,7,31,,,,,,,,,0.225671697,2.020437096,73.10477158,25.3542533,0.535011574,85.19159506,4.766017337,6.073272146,24.48063051,928.5912599,1074.486605,15519215,41.46,72.4,0,0,1,0,0,0,0,0,0,0,0,0,729,36.90359444,7.419779366,17.98706711,47.75666667,3.832625,5.5,21,3.004132099,1.053234582,0,2,1,105,198,118,23,5,1340,4.351963459,4.406576766,2.595235403,38.83410586,53.63112992,0,0,0,0,1,0,0,0,7.921690252,2.658651095,2.294720694,2.451913675,18.89268158,16.43696576,8.028438858,15.52584789,10.75109581,7.101870252,4.911431641,6.041544014,3.775434955,1.258391772,9.783005657,6.597842936,4.218112216,899.9238366,13.55844061,94.040328,1338,25.55036941,2.050498734,11.23524306,2.942563657,0.102388255,7.10002806,0.244910547,1.599496647,6.127432068,58.14885675,2.425178591,3.296207924,7.545333565,22.23145803,0.143999819,3.881906952,1925989817,1,36.85425211,0,421.097,25.47164674,-0.272542715,0.052513245,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,50,LITCHFIELD,50,CT,1,2,5,26,31,102,105,,,,,,,,0.079302071,0.895149959,41.09089588,21.10082853,0.472266892,82.02673992,3.042098769,1.322208601,36.77184913,840.3142388,862.4892012,2604193,41.45,73.11,0,1,0,0,0,0,0,0,0,0,0,0,925,33.18840778,5.600603664,23.38049324,46.33583333,3.7725,1,17,2.168101296,0.365756926,0,12,4,85,246,286,49,11,2316,3.819199609,3.761638198,2.404627937,57.44339812,50.88428001,0,0,0,0,0,0,0,0,5.367265856,2.563714327,1.677649111,2.377717474,19.9551488,14.60330929,6.657373174,14.27480453,11.45645191,8.384750591,7.118007152,4.175014463,4.531433209,0.389364795,7.19062818,3.395955876,2.823964339,713.0280347,11.72206139,93.93018073,2066,21.88287999,1.78162685,8.028537162,0.472266892,0.110390848,6.550962004,0.26114255,3.162661973,3.930255234,57.18155073,2.63642617,3.516633473,9.43589184,20.23873036,0.119374434,3.976259368,2421173984,0,31.54456369,0,82.556,23.86223372,-0.275693471,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,70,MIDDLESEX,70,CT,2,5,6,,,,,,,,,,,,0.077622893,1.050828987,47.78158325,20.28294543,0.436534553,88.92930586,4.621564186,2.073592194,19.4889065,866.9690632,928.117071,2857748,41.34,72.39,0,0,0,0,0,0,0,0,0,0,0,0,369,35.99972778,5.984964387,20.83560364,49.84875,3.9265,9,18.5,1.471240746,0.635202354,0,20,14,75,147,106,19,1,916,3.977771921,4.269899842,2.888332455,60.38825203,53.32277162,1,0,0,0,1,0,0,0,5.693936328,12.77438312,7.443371993,12.59317162,18.8859912,13.85699272,6.453621891,13.71686583,11.8037445,9.662916975,8.946712857,4.117666695,9.987085182,0.236238032,10.01687489,3.035118445,2.303763525,800.5548548,20.00396007,78.25756986,917,21.76070179,1.714052922,8.075889228,3.928810976,0.109456402,6.363744866,0.260724974,2.634989424,4.470133614,56.34556403,2.587068653,3.432522841,9.399661128,20.65000448,0.124608931,3.942659982,979454373.3,0,55.61119327,0,51.388,20.9831391,-0.291939843,0.3130424,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,90,NEW HAVEN,90,CT,1,2,3,4,,,,,,,,,,,0.109902297,2.016618873,82.64490807,23.9413614,0.388554623,90.16412028,4.981439129,2.355336971,24.15406032,982.7113419,999.7288794,3638414,41.3,73,0,1,0,0,0,0,0,0,0,0,0,0,603,40.62244,6.519279375,17.7726136,49.84875,3.9265,9,18.5,2.942232072,0.539666821,0,31,30,136,180,142,30,3,1046,5.309793369,5.228194752,3.100491638,42.47318646,53.86809237,1,0,0,0,0,0,0,0,5.710876493,1.169923767,0.873235243,0.966648636,19.75574154,15.71981966,7.57671944,15.18388482,11.15292929,7.446082623,5.516544451,5.372567286,3.251744349,0.036164497,10.2687642,7.539405918,3.308874979,841.8297433,13.52050855,106.5584347,1064,19.36896225,1.525659726,7.18826052,3.496991604,0.105356849,6.600359992,0.240780607,2.414928549,4.502457288,54.34934134,2.679796545,3.440802287,9.144602679,21.51644918,0.131268881,3.936240478,1587842861,0,7.850732227,0,463.449,27.39577502,-0.411248655,0.058463784,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,110,NEW LONDON,110,CT,2,4,7,8,50,53,,,,,,,,,0.128589029,1.33315401,51.45924046,20.58991645,0.590947458,82.43325657,4.391412983,1.386068521,23.06703911,857.9355545,929.0825969,1792313,41.2,72.05,0,0,0,0,0,0,0,0,0,0,0,0,659,39.22898444,5.863269302,17.95470975,49.84875,3.9265,9,18.5,2.229361073,1.393095712,0,54,20,106,206,192,22,4,660,5.608943911,6.665933341,4.12895871,49.98596196,49.60525396,1,0,0,0,1,0,0,1,5.720962292,4.695879495,1.762688499,4.485474058,18.01780595,15.88075562,7.129946448,13.96312705,11.37798552,8.694482509,7.356093788,3.536414507,19.1623447,0.0707698,11.03236079,4.333119267,1.860112973,811.3220765,30.19470549,78.93263622,678,29.45799211,2.320355195,10.93252798,5.318527124,0.106814291,5.729017063,0.251603384,2.998429467,5.081306446,58.08603089,2.482161352,3.443516482,8.466797618,19.57545872,0.125265724,3.947565926,1762767220,0,15.06575828,0,118.966,22.222818,-0.226972497,0.160860065,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,130,TOLLAND,130,CT,2,6,8,31,38,,,,,,,,,,0.051662494,0.582713982,38.16253184,21.25335846,0.541951578,90.32092316,4.742866762,2.558241758,21.97359948,515.3551377,567.2550513,2309390,41.52,72.28,0,0,0,0,0,0,0,0,0,0,0,0,404,33.53119667,6.625407691,22.56184794,49.1775,3.89275,10,25,2.200993182,4.692365962,0,0,1,56,144,59,11,2,1935,5.052115744,4.709863099,4.394835096,59.59849435,50.59622851,0,0,0,0,0,0,0,1,1.081684637,11.05062982,8.594158903,10.89869346,19.76480441,14.03147573,6.343999721,13.8151237,11.44223052,9.191471543,8.322573891,2.565432648,11.97550508,1.731818975,6.46360073,5.337343708,2.503792875,494.2975331,18.43910581,79.80739035,1852,26.65182373,2.109682005,13.54878945,5.41951578,0.107444888,5.842625421,0.258541109,2.779209772,4.746346827,58.05319723,2.512727923,3.420516066,8.745659508,20.1985629,0.134387008,3.96941328,1071467572,0,80.58166719,0,28.659,23.56113066,-0.262173465,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,150,WINDHAM,150,CT,6,7,38,50,52,,,,,,,,,,0.023780131,0.508449506,43.6896794,21.43623119,0.58834375,90.48069262,6.228467203,1.283278232,24.19789474,737.4670254,882.7946705,1224854,41.55,71.55,0,0,0,0,0,0,0,0,0,0,0,0,500,37.00652889,6.967352641,18.59446067,49.1775,3.89275,10,25,2.337364048,1.990587494,0,0,1,66,200,142,12,1,1202,5.437821264,8.456578591,5.104157273,44.96504537,45.63852574,0,0,0,0,0,0,0,1,2.529305181,0.595348149,0.044373775,0.383171131,19.80212668,14.07119741,6.527970411,13.46463245,11.44891355,8.695330559,8.094313454,2.756518656,4.538469598,0.097374552,8.774427147,3.653581333,1.415967163,764.5112179,13.31289674,111.6222313,1102,28.93327477,2.290275133,14.70859375,5.8834375,0.105127207,5.675891387,0.25358223,2.826305036,5.11173534,58.67616812,2.464621462,3.395417192,8.551564473,19.65112926,0.127458168,3.956241389,1358635618,0,22.64641497,0,54.086,32.73330897,-0.237581067,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2,10,ANDROSCOGGIN,10,ME,11,12,14,17,20,,,,,,,,,,0.079130382,0.063189822,75.15235768,20.99446738,0.734306917,91.35784155,3.402438184,0.423937544,28.85055986,851.5567682,920.2074319,1593805,44.04,70.24,0,0,0,0,0,0,0,0,0,0,0,0,459,41.45552333,11.28095674,32.09200438,43.97,3.523583333,1,0.5,2.546662993,2.446793856,0,1,1,47,64,74,5,0,2631,5.253490706,10.49507645,7.355567272,48.46408455,34.81600367,0,0,0,0,0,0,0,1,2.96570899,2.952368916,1.269413318,2.107480631,17.81012463,15.20660925,7.220434715,13.49950122,11.24583761,8.53694519,8.021300212,2.54996993,4.113350839,0.07524644,5.923191601,7.184707127,1.658710366,811.501457,10.03654244,92.74440419,2624,32.28747515,2.587391615,0.367153459,0.734306917,0.116994627,10.83077568,0.284214048,1.286244535,5.393294941,62.81899836,2.772281262,3.991294854,7.441569164,24.16106565,0.196696941,3.92324926,1273405955,0,22.38050103,0,71.214,28.76062195,-0.283940037,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2,30,AROOSTOOK,30,ME,18,19,21,23,,,,,,,,,,,0.07215447,0.044397391,8.28523616,13.21903851,0.210270417,93.24355136,8.588434056,0.340373037,61.99767766,630.7847917,591.2418707,52657276,46.07,67.5,1,0,0,0,0,0,0,0,0,0,0,0,6453,28.33162889,23.30139482,23.1742996,39.935,3.464916667,7,0,2.49701629,1.066385604,0,25,1,343,746,141,27,1,2270,7.40881459,5.526532421,3.861132219,67.28328544,26.55551037,0,0,0,0,0,0,0,0,9.996243298,-8.404767597,-9.807269788,-9.617672771,22.6875057,14.92185364,6.009067712,10.83910508,8.550533127,5.620614235,4.799280051,1.184854508,3.750653628,1.651762804,9.392414118,24.41671315,1.527652744,480.1374044,13.14306775,82.5984996,1953,8.397149097,0.728569472,0,1.471892918,0.144960465,15.85705443,0.297897873,3.043511051,1.484932393,55.29047994,3.124394743,4.362449943,7.300300137,26.40819427,0.283106194,3.96659638,17559488709,0,599.4476054,0,87.843,4.139808717,-0.471932927,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
