Year,1940-1950,1950-1960,1960-1970,1970-1980,1980-1990,start place,end place,name
WhiteAndBlackPopulation_NewEngland_Maine_Ac53_Thousand ,-27,-67,-69,76,45,35,41,Maine
WhiteAndBlackPopulation_NewEngland_NewHampshire_Ac54_Thousand ,,12,69,136,117,35,48,NewHampshire
WhiteAndBlackPopulation_NewEngland_Vermont_Ac55_Thousand ,-19,-38,15,38,17,35,43,Vermont
WhiteAndBlackPopulation_NewEngland_Massachusetts_Ac56_Thousand ,23,-96,74,-136,19,35,49,Massachusetts
WhiteAndBlackPopulation_NewEngland_RhodeIsland_Ac57_Thousand ,11,-26,13,-33,20,35,47,RhodeIsland
WhiteAndBlackPopulation_NewEngland_Connecticut_Ac58_Thousand ,113,234,214,-52,18,35,47,Connecticut
WhiteAndBlackPopulation_MiddleAtlantic_NewYork_Ac59_Thousand ,270,210,-101,-1543,-467,39,47,NewYork
WhiteAndBlackPopulation_MiddleAtlantic_NewJersey_Ac60_Thousand ,294,578,488,-114,5,39,49,NewJersey
MiddleAtlantic_Pennsylvania_Ac61_Thousand ,-355,-475,-378,-289,-368,15,28,Pennsylvania
WhiteAndBlackPopulation_EastNorthCentral_Ohio_Ac62_Thousand ,245,407,-126,-544,-585,41,46,Ohio
WhiteAndBlackPopulation_EastNorthCentral_Indiana_Ac63_Thousand ,97,61,-16,-87,-283,41,49,Indiana
WhiteAndBlackPopulation_EastNorthCentral_Illinois_Ac64_Thousand ,75,124,-43,-410,-801,41,50,Illinois
WhiteAndBlackPopulation_EastNorthCentral_Michigan_Ac65_Thousand ,336,155,27,-297,-585,41,50,Michigan
WhiteAndBlackPopulation_EastNorthCentral_Wisconsin_Ac66_Thousand ,-84,-53,4,14,-126,41,51,Wisconsin
WhiteAndBlackPopulation_WestNorthCentral_Minnesota_Ac67_Thousand ,-173,-98,-25,11,-29,41,51,Minnesota
WhiteAndBlackPopulation_WestNorthCentral_Iowa_Ac68_Thousand ,-196,-234,-183,-58,-280,41,46,Iowa
WhiteAndBlackPopulation_WestNorthCentral_Missouri_Ac69_Thousand ,-190,-134,2,16,-64,41,50,Missouri
WestNorthCentral_NorthDakota_Ac70_Thousand ,-121,-105,-94,-17,-72,17,29,NorthDakota
WestNorthCentral_SouthDakota_Ac71_Thousand ,-79,-95,-94,-26,-50,17,29,SouthDakota
WhiteAndBlackPopulation_WestNorthCentral_Nebraska_Ac72_Thousand ,-135,-117,-73,-12,-99,41,50,Nebraska
WhiteAndBlackPopulation_WestNorthCentral_Kansas_Ac73_Thousand ,-91,-44,-130,-19,-62,41,48,Kansas
WhiteAndBlackPopulation_SouthAtlantic_Delaware_Ac74_Thousand ,21,63,38,8,29,38,47,Delaware
WhiteAndBlackPopulation_SouthAtlantic_Maryland_Ac75_Thousand ,270,321,385,55,244,38,47,Maryland
SouthAtlantic_DistrictOfColumbia_Ac76_Thousand ,49,-160,-100,-151,-60,14,33,DistrictOfColumbia
WhiteAndBlackPopulation_SouthAtlantic_Virginia_Ac77_Thousand ,169,15,141,353,431,38,47,Virginia
WhiteAndBlackPopulation_SouthAtlantic_WestVirginia_Ac78_Thousand ,-235,-446,-265,113,-208,38,51,WestVirginia
SouthAtlantic_NorthCarolina_Ac79_Thousand ,-258,-328,-94,395,375,14,28,NorthCarolina
SouthAtlantic_SouthCarolina_Ac80_Thousand ,-230,-222,-149,272,111,14,28,SouthCarolina
WhiteAndBlackPopulation_SouthAtlantic_Georgia_Ac81_Thousand ,-290,-212,51,443,524,38,46,Georgia
