Year,1930-1940,1940-1950,1950-1960,1960-1970,1970-1980,1980-1990,,,
WhiteAndBlackPopulation_NewEngland_Maine_Ac206_Thousand ,-1.2,-35.8,-70.5,-80.2,44.5,27,35,41,Maine
WhiteAndBlackPopulation_NewEngland_NewHampshire_Ac207_Thousand ,9.1,-9.1,-2.1,53.4,96,94.8,35,48,NewHampshire
WhiteAndBlackPopulation_NewEngland_Vermont_Ac208_Thousand ,-18.7,-23.8,-38.4,3.3,17.5,6.4,35,43,Vermont
WhiteAndBlackPopulation_NewEngland_Massachusetts_Ac209_Thousand ,-69.5,-29.5,-154,-79.5,-357.6,-139.7,35,49,Massachusetts
WhiteAndBlackPopulation_NewEngland_RhodeIsland_Ac210_Thousand ,-2.3,2.7,-36.5,-4.2,-70.2,-20.3,35,47,RhodeIsland
WhiteAndBlackPopulation_NewEngland_Connecticut_Ac211_Thousand ,39.2,89.5,-172.7,95.2,-203.4,-70.1,35,47,Connecticut
WhiteAndBlackPopulation_MiddleAtlantic_NewYork_Ac212_Thousand ,396.3,83.8,1.2,-764.2,-2388.1,-1215.3,39,47,NewYork
WhiteAndBlackPopulation_MiddleAtlantic_NewJersey_Ac213_Thousand ,-28.2,200.7,409.9,162,-554.2,-336,39,49,NewJersey
MiddleAtlantic_Pennsylvania_Ac214_Thousand ,-301,-447.2,-594,-566.1,-627.7,-449.7,15,28,Pennsylvania
WhiteAndBlackPopulation_EastNorthCentral_Ohio_Ac215_Thousand ,-56.6,151.6,265.9,-207.7,-797,-593.9,41,46,Ohio
WhiteAndBlackPopulation_EastNorthCentral_Indiana_Ac216_Thousand ,10.6,56.7,21,-40.2,-209.4,-265.2,41,49,Indiana
WhiteAndBlackPopulation_EastNorthCentral_Illinois_Ac217_Thousand ,-60.8,-22.1,-10.1,-320.5,-813.5,-900.4,41,50,Illinois
WhiteAndBlackPopulation_EastNorthCentral_Michigan_Ac218_Thousand ,17.1,251.4,88,-134.5,-575.6,-660,41,50,Michigan
EastNorthCentral_Wisconsin_Ac219_Thousand ,-10.9,-95.1,85.2,-37.2,-70,-122.8,17,27,Wisconsin
WestNorthCentral_Minnesota_Ac220_Thousand ,36,-160.9,-109.2,-38.5,-61.4,-11.4,17,27,Minnesota
WhiteAndBlackPopulation_WestNorthCentral_Iowa_Ac221_Thousand ,-73.4,-178.8,-220.7,-181.9,-91,-249.1,41,46,Iowa
WhiteAndBlackPopulation_WestNorthCentral_Missouri_Ac222_Thousand ,-20.8,-168.6,-150,-17,-83.2,-22.8,41,50,Missouri
WestNorthCentral_NorthDakota_Ac223_Thousand ,-105.8,-109.4,-91,-82.5,-23.7,-56.3,17,29,NorthDakota
WestNorthCentral_NorthAndSouthDakota_Ac224_Thousand ,,,,,,,17,37,NorthAndSouthDakota
WestNorthCentral_SouthDakota_Ac225_Thousand ,-101.4,-71.2,-76.1,-86.7,-29.9,-37.9,17,29,SouthDakota
WhiteAndBlackPopulation_WestNorthCentral_Nebraska_Ac226_Thousand ,-139.5,-123,-102.4,-65.1,-24.3,-81.3,41,50,Nebraska
WhiteAndBlackPopulation_WestNorthCentral_Kansas_Ac227_Thousand ,-163.8,-86.8,-29.6,-130.6,-34.2,-36.3,41,48,Kansas
WhiteAndBlackPopulation_SouthAtlantic_Delaware_Ac228_Thousand ,16,14.5,51.1,29.8,-14.8,21.2,38,47,Delaware
WhiteAndBlackPopulation_SouthAtlantic_Maryland_Ac229_Thousand ,87,213.3,231.1,290.3,-143.8,125.5,38,47,Maryland
SouthAtlantic_DistrictOfColumbia_Ac230_Thousand ,157.8,78.5,-115.1,-82.5,-167.4,-34,14,33,DistrictOfColumbia
WhiteAndBlackPopulation_SouthAtlantic_Virginia_Ac231_Thousand ,0.2,152,-2,128.9,101.7,293,38,47,Virginia
SouthAtlantic_WestVirginia_Ac232_Thousand ,-73.6,-210.8,-401.6,-248.8,44.6,-196.9,14,27,WestVirginia
SouthAtlantic_NorthCarolina_Ac233_Thousand ,-85.4,-202.8,-277.6,-51.1,207.8,341.7,14,28,NorthCarolina
SouthAtlantic_SouthCarolina_Ac234_Thousand ,-102.5,-172.4,-179.1,-134.1,143.2,113.2,14,28,SouthCarolina
WhiteAndBlackPopulation_SouthAtlantic_Georgia_Ac235_Thousand ,-134.1,-224.3,-169.7,39.2,190.8,456,38,46,Georgia
WhiteAndBlackPopulation_SouthAtlantic_Florida_Ac236_Thousand ,280.3,510.9,1385.6,1136,2085,2189,38,46,Florida
WhiteAndBlackPopulation_EastSouthCentral_Kentucky_Ac237_Thousand ,-93.5,-319.2,-350.2,-127.5,96.6,-154.6,41,50,Kentucky
EastSouthCentral_Tennessee_Ac238_Thousand ,-14.9,-102.8,-252.6,-30.6,235.6,36.4,17,27,Tennessee
WhiteAndBlackPopulation_EastSouthCentral_Alabama_Ac239_Thousand ,-165.3,-271,-332.3,-192.2,45.8,-61.8,41,49,Alabama
EastSouthCentral_Mississippi_Ac240_Thousand ,-90.3,-349.9,-369.6,-236.3,-0.6,-99,17,29,Mississippi
WhiteAndBlackPopulation_WestSouthCentral_Arkansas_Ac241_Thousand ,-128.8,-320.4,-353,-42.5,166.4,-28.1,41,50,Arkansas
WestSouthCentral_Louisiana_Ac242_Thousand ,5.7,-112.1,-39,-115.6,28.5,-335.5,17,27,Louisiana
WhiteAndBlackPopulation_WestSouthCentral_Oklahoma_Ac243_Thousand ,-269.4,-356.1,-196,17.6,193.2,-54.8,41,50,Oklahoma
WhiteAndBlackPopulation_WestSouthCentral_Texas_Ac244_Thousand ,-72.8,132.9,174.5,71.7,1134,600.1,41,47,Texas
WhiteAndBlackPopulation_Mountain_Montana_Ac245_Thousand ,-19.3,-42.2,-25.3,-58.4,20,-51.9,33,41,Montana
WhiteAndBlackPopulation_Mountain_Idaho_Ac246_Thousand ,-20.5,-29.6,-39.3,-43.9,104.7,-47.5,33,39,Idaho
